id_usuario,id_restaurante,rating_servicio,fecha
284,1103,2,2004-10-20
285,131,2,2004-10-21
293,125,2,2004-10-22
299,68,2,2004-10-24
299,537,2,2004-10-24
298,149,2,2004-10-24
301,667,2,2004-10-25
96,410,1,2004-10-26
304,893,3,2004-10-26
303,154,3,2004-10-26
305,674,3,2004-10-26
306,507,1,2004-10-27
311,114,1,2004-10-27
315,68,1,2004-10-28
313,246,2,2004-10-28
312,293,2,2004-10-28
323,971,3,2004-10-29
321,971,3,2004-10-29
324,196,2,2004-10-29
326,971,3,2004-10-31
7,971,2,2004-11-01
332,700,2,2004-11-02
334,1071,2,2004-11-02
348,1123,1,2004-11-05
343,418,3,2004-11-05
345,1320,1,2004-11-05
346,738,2,2004-11-05
348,893,1,2004-11-05
349,320,2,2004-11-06
350,1315,3,2004-11-06
17,217,2,2004-11-07
203,969,2,2004-11-07
355,200,2,2004-11-08
362,48,2,2004-11-10
362,674,3,2004-11-10
362,146,1,2004-11-11
2,674,0,2004-11-12
372,1264,3,2004-11-12
368,1298,3,2004-11-12
370,320,2,2004-11-12
378,1320,2,2004-11-14
260,1151,2,2004-11-16
388,1010,2,2004-11-16
394,161,3,2004-11-18
424,131,3,2004-11-21
400,4072,3,2004-11-22
412,827,3,2004-11-22
408,537,3,2004-11-22
402,1352,3,2004-11-22
7,1315,3,2004-11-23
413,208,3,2004-11-23
414,131,3,2004-11-23
416,1031,3,2004-11-23
415,35,3,2004-11-23
419,1099,3,2004-11-24
420,758,2,2004-11-24
423,712,2,2004-11-25
422,363,3,2004-11-25
426,515,1,2004-11-26
431,557,3,2004-11-29
440,712,2,2004-11-30
345,405,2,2004-11-30
439,1352,2,2004-11-30
444,154,2,2004-12-01
7,863,2,2004-12-03
452,421,2,2004-12-03
453,114,3,2004-12-03
455,648,2,2004-12-03
458,1099,2,2004-12-05
464,1182,3,2004-12-07
470,1264,2,2004-12-07
472,1403,3,2004-12-08
475,1355,2,2004-12-09
479,1031,3,2004-12-09
27,863,2,2004-12-11
487,1403,3,2004-12-13
485,282,1,2004-12-13
488,1020,2,2004-12-14
458,200,2,2004-12-15
494,200,0,2004-12-15
496,407,3,2004-12-15
499,114,3,2004-12-16
506,1099,3,2004-12-19
505,50,2,2004-12-19
99,1314,3,2004-12-20
4,1182,2,2004-12-20
521,893,3,2004-12-21
515,1264,3,2004-12-21
520,37,1,2004-12-21
519,712,3,2004-12-21
522,758,3,2004-12-22
530,983,2,2004-12-23
531,104,3,2004-12-23
527,1125,3,2004-12-23
537,536,3,2004-12-28
491,468,1,2004-12-28
538,231,3,2004-12-28
344,770,3,2004-12-29
543,1099,3,2004-12-29
7,648,2,2004-12-30
562,1457,3,2005-01-03
563,522,2,2005-01-04
564,712,2,2005-01-04
7,557,2,2005-01-05
571,1182,3,2005-01-05
7,379,2,2005-01-05
573,712,3,2005-01-06
7,59,2,2005-01-06
580,241,3,2005-01-09
581,1355,1,2005-01-09
580,15242,2,2005-01-09
345,758,2,2005-01-12
586,1183,2,2005-01-12
590,528,2,2005-01-14
596,262,3,2005-01-14
591,435,2,2005-01-14
19,1297,2,2005-01-15
350,1598,3,2005-01-17
583,1598,3,2005-01-17
598,961,3,2005-01-17
602,1403,3,2005-01-18
601,93,3,2005-01-18
600,185,2,2005-01-18
478,1598,3,2005-01-19
604,337,2,2005-01-19
3,1623,2,2005-01-20
7,1352,2,2005-01-21
617,1403,2,2005-01-21
3,210,2,2005-01-22
796,770,3,2005-01-22
622,982,2,2005-01-23
622,1057,2,2005-01-23
623,315,3,2005-01-23
632,1315,3,2005-01-25
7,615,2,2005-01-25
632,163,1,2005-01-25
631,1543,3,2005-01-25
633,537,3,2005-01-25
629,1479,3,2005-01-25
632,468,1,2005-01-25
632,85,2,2005-01-25
632,93,2,2005-01-25
632,557,2,2005-01-25
632,1598,3,2005-01-25
632,198,1,2005-01-25
210,282,2,2005-01-26
636,1403,3,2005-01-26
635,320,3,2005-01-26
7,411,2,2005-01-27
642,198,2,2005-01-27
651,161,3,2005-01-27
643,231,3,2005-01-27
647,42,3,2005-01-27
17,85,2,2005-01-28
7,1598,2,2005-01-28
665,1037,3,2005-01-29
666,369,3,2005-01-29
671,93,2,2005-01-30
669,1052,2,2005-01-30
266,1474,3,2005-01-31
674,360,2,2005-01-31
677,485,3,2005-01-31
680,1480,0,2005-01-31
688,35,1,2005-02-02
690,93,2,2005-02-02
691,5132,3,2005-02-02
692,1319,2,2005-02-02
698,241,3,2005-02-03
699,1031,3,2005-02-03
7,650,2,2005-02-04
709,411,3,2005-02-04
7,489,2,2005-02-04
700,1000,3,2005-02-04
703,1598,3,2005-02-04
701,489,2,2005-02-04
697,1183,0,2005-02-04
707,15242,3,2005-02-04
17,1,2,2005-02-05
17,863,3,2005-02-05
718,379,3,2005-02-08
727,1599,3,2005-02-09
722,1021,2,2005-02-09
721,891,2,2005-02-09
725,430,3,2005-02-09
733,841,0,2005-02-09
737,1559,2,2005-02-10
721,198,1,2005-02-10
736,537,3,2005-02-10
731,944,3,2005-02-10
247,789,3,2005-02-11
742,282,2,2005-02-11
743,1410,3,2005-02-11
755,145,2,2005-02-12
759,486,2,2005-02-13
759,1198,2,2005-02-13
898,978,2,2005-02-14
5,537,0,2005-02-14
125,7190,2,2005-02-14
5,992,2,2005-02-14
779,713,1,2005-02-14
200,1188,3,2005-02-14
774,739,3,2005-02-14
777,674,1,2005-02-14
765,363,2,2005-02-14
795,165,1,2005-02-15
797,411,2,2005-02-15
786,196,1,2005-02-15
785,536,3,2005-02-15
783,145,2,2005-02-15
835,138,3,2005-02-16
899,1142,2,2005-02-16
822,149,2,2005-02-16
899,84,3,2005-02-16
820,15242,3,2005-02-16
490,1414,2,2005-02-16
830,650,2,2005-02-16
490,288,2,2005-02-16
804,192,2,2005-02-16
825,789,3,2005-02-16
806,80,2,2005-02-16
826,378,3,2005-02-16
851,932,3,2005-02-17
899,435,3,2005-02-17
846,1357,2,2005-02-17
899,789,3,2005-02-17
850,495,2,2005-02-17
841,493,3,2005-02-17
859,1151,3,2005-02-18
856,50,2,2005-02-18
864,372,1,2005-02-19
863,416,3,2005-02-19
863,104,2,2005-02-19
863,1365,3,2005-02-19
878,1598,3,2005-02-20
880,93,3,2005-02-20
871,50,3,2005-02-20
858,93,3,2005-02-20
890,136,2,2005-02-21
896,392,3,2005-02-21
895,1021,2,2005-02-21
889,165,2,2005-02-21
892,651,3,2005-02-21
893,59,2,2005-02-21
345,758,2,2005-02-22
2126,146,1,2005-02-22
902,145,2,2005-02-22
497,392,2,2005-02-22
908,1135,2,2005-02-22
898,1099,3,2005-02-22
903,1409,3,2005-02-22
345,412,0,2005-02-23
914,939,2,2005-02-23
920,1485,1,2005-02-23
916,712,3,2005-02-23
27,531,2,2005-02-23
917,1342,2,2005-02-23
929,251,2,2005-02-24
933,1598,3,2005-02-24
941,648,3,2005-02-24
928,495,2,2005-02-24
922,939,2,2005-02-24
923,1376,3,2005-02-24
938,330,2,2005-02-24
940,985,3,2005-02-24
946,125,2,2005-02-25
954,1112,1,2005-02-25
945,758,2,2005-02-25
945,508,0,2005-02-25
951,1573,3,2005-02-25
947,94,2,2005-02-25
950,311,2,2005-02-25
899,369,3,2005-02-25
959,261,2,2005-02-26
957,261,3,2005-02-26
955,182,3,2005-02-26
963,827,3,2005-02-27
973,15242,3,2005-02-28
96,480,1,2005-02-28
96,1,2,2005-02-28
969,1452,3,2005-02-28
980,428,2,2005-02-28
96,379,2,2005-02-28
985,770,3,2005-03-01
989,648,2,2005-03-01
982,528,3,2005-03-01
990,447,1,2005-03-01
986,1598,2,2005-03-01
27,770,2,2005-03-02
1004,377,3,2005-03-02
1001,1307,3,2005-03-02
994,198,2,2005-03-02
858,1598,3,2005-03-03
1010,1424,3,2005-03-03
96,141,2,2005-03-03
1011,980,1,2005-03-03
96,94,2,2005-03-03
96,395,2,2005-03-03
1029,10518,1,2005-03-04
1041,1607,1,2005-03-05
858,1315,3,2005-03-06
1043,509,2,2005-03-06
858,93,3,2005-03-06
1046,918,2,2005-03-06
1053,1000,2,2005-03-07
1057,310,2,2005-03-07
1075,35,3,2005-03-08
1060,304,3,2005-03-08
1063,1014,2,2005-03-08
1063,146,2,2005-03-08
1072,131,2,2005-03-08
1070,971,2,2005-03-08
1071,404,3,2005-03-08
203,311,2,2005-03-09
1077,395,2,2005-03-09
203,1545,2,2005-03-09
1078,418,2,2005-03-09
633,231,3,2005-03-09
1082,1000,3,2005-03-09
896,1510,2,2005-03-09
963,246,2,2005-03-09
203,669,1,2005-03-09
1085,131,1,2005-03-10
1093,1554,3,2005-03-11
1095,1059,3,2005-03-11
1108,1320,3,2005-03-12
1109,789,3,2005-03-12
1106,1707,2,2005-03-12
260,1707,2,2005-03-13
1114,1658,2,2005-03-13
1628,209,3,2005-03-13
1112,14976,3,2005-03-13
1747,493,2,2005-03-13
1048,146,1,2005-03-13
733,246,2,2005-03-14
1122,93,3,2005-03-14
1119,1414,3,2005-03-14
1127,388,2,2005-03-14
1126,448,2,2005-03-14
1128,1203,3,2005-03-15
1161,48,2,2005-03-15
1136,1695,3,2005-03-15
1133,94,3,2005-03-15
1139,1203,3,2005-03-15
1130,1135,3,2005-03-15
1144,166,2,2005-03-16
1154,94,1,2005-03-16
1154,166,2,2005-03-16
1151,1480,3,2005-03-16
1146,1151,3,2005-03-16
1143,1057,0,2005-03-16
633,1,3,2005-03-17
1157,944,0,2005-03-17
1156,244,3,2005-03-17
1155,1518,2,2005-03-17
1169,1307,3,2005-03-17
1162,799,2,2005-03-17
1165,1715,3,2005-03-17
1166,863,3,2005-03-17
1160,1510,3,2005-03-17
1161,1709,3,2005-03-17
1159,370,2,2005-03-17
17,311,0,2005-03-18
1177,81,0,2005-03-18
1175,983,2,2005-03-18
1176,1223,3,2005-03-18
1187,669,2,2005-03-20
1185,1598,2,2005-03-20
733,738,2,2005-03-21
1190,1031,2,2005-03-21
1197,1510,3,2005-03-21
1161,435,2,2005-03-21
1193,770,3,2005-03-21
1627,81,1,2005-03-21
1188,131,3,2005-03-21
1189,330,2,2005-03-21
5,1241,3,2005-03-22
1203,1410,2,2005-03-22
1199,408,2,2005-03-22
1205,48,2,2005-03-22
1200,99,2,2005-03-22
1201,94,1,2005-03-22
4,392,1,2005-03-23
1223,15242,3,2005-03-23
30,392,0,2005-03-24
1227,1668,3,2005-03-24
1226,522,3,2005-03-24
27,93,3,2005-03-24
1224,696,2,2005-03-24
30,1598,3,2005-03-24
30,94,3,2005-03-24
1234,3854,3,2005-03-25
1230,301,2,2005-03-25
1230,7190,2,2005-03-25
1235,898,3,2005-03-25
493,12182,1,2005-03-26
1244,800,3,2005-03-26
605,246,2,2005-03-27
19,1709,2,2005-03-27
1253,225,3,2005-03-27
30,93,2,2005-03-27
1249,1057,3,2005-03-27
1238,282,2,2005-03-27
1259,1087,1,2005-03-28
1255,410,3,2005-03-28
1274,378,3,2005-03-29
1276,480,2,2005-03-29
1262,396,2,2005-03-29
1273,1554,3,2005-03-29
1266,1057,2,2005-03-29
1275,489,3,2005-03-29
1286,304,2,2005-03-30
1283,1480,3,2005-03-30
1283,1434,1,2005-03-30
65,1510,1,2005-03-31
984,1182,2,2005-03-31
984,783,3,2005-03-31
1291,1320,3,2005-03-31
1309,985,3,2005-04-02
1308,360,2,2005-04-02
1313,534,2,2005-04-03
1315,542,2,2005-04-03
1315,497,2,2005-04-03
1313,359,2,2005-04-03
1310,1735,2,2005-04-03
1314,99,2,2005-04-03
1320,972,3,2005-04-04
1328,1200,2,2005-04-04
1331,1355,3,2005-04-04
1335,755,3,2005-04-05
1342,961,3,2005-04-05
1341,1013,3,2005-04-05
1339,1159,3,2005-04-05
1335,485,0,2005-04-05
1340,421,3,2005-04-05
210,587,2,2005-04-06
1350,755,3,2005-04-06
1352,154,1,2005-04-06
633,796,2,2005-04-06
1349,1598,3,2005-04-06
1351,1103,2,2005-04-06
1350,104,1,2005-04-06
1350,1125,2,2005-04-06
1350,712,3,2005-04-06
1350,10064,2,2005-04-06
1350,185,2,2005-04-06
345,15242,2,2005-04-07
1374,900,3,2005-04-07
1031,68,1,2005-04-07
1378,1000,2,2005-04-07
1365,159,2,2005-04-07
1372,80,3,2005-04-07
1371,758,2,2005-04-07
1381,1448,2,2005-04-07
1363,1674,2,2005-04-07
1370,587,3,2005-04-07
687,241,2,2005-04-08
1393,411,3,2005-04-08
1382,1566,3,2005-04-08
1388,35,3,2005-04-08
1394,1057,3,2005-04-08
1395,6692,2,2005-04-08
1383,418,2,2005-04-08
1387,346,3,2005-04-08
1397,421,2,2005-04-09
1399,198,3,2005-04-09
1401,425,2,2005-04-10
65,379,2,2005-04-11
1417,320,3,2005-04-11
1425,85,2,2005-04-11
1413,378,2,2005-04-11
1424,499,1,2005-04-11
1422,674,3,2005-04-11
1413,198,1,2005-04-11
1423,898,3,2005-04-11
1413,114,1,2005-04-11
1410,1010,3,2005-04-11
1408,1402,1,2005-04-11
1411,161,3,2005-04-11
1416,800,2,2005-04-11
1413,395,2,2005-04-11
1436,770,2,2005-04-12
1433,259,2,2005-04-12
1429,1485,1,2005-04-12
1438,1607,3,2005-04-12
1432,747,2,2005-04-12
5,1438,1,2005-04-13
1444,282,3,2005-04-13
1445,377,3,2005-04-13
27,219,3,2005-04-14
1450,1485,3,2005-04-14
1447,322,2,2005-04-14
1454,1183,3,2005-04-14
1448,799,2,2005-04-14
1452,425,2,2005-04-14
1628,485,1,2005-04-15
1459,131,0,2005-04-15
392,363,3,2005-04-15
1465,944,3,2005-04-15
1463,1138,3,2005-04-15
1462,196,2,2005-04-15
1662,1357,2,2005-04-16
1475,431,2,2005-04-16
1480,770,2,2005-04-16
1662,1775,2,2005-04-16
1662,274,2,2005-04-16
1481,377,2,2005-04-16
1662,178,2,2005-04-16
1662,288,2,2005-04-16
1472,185,2,2005-04-16
1662,292,2,2005-04-16
1474,229,1,2005-04-16
1662,388,1,2005-04-16
1662,389,1,2005-04-16
1662,586,2,2005-04-16
1662,598,2,2005-04-16
1662,669,1,2005-04-16
1662,780,2,2005-04-16
1662,998,2,2005-04-16
1350,507,1,2005-04-17
1486,1566,2,2005-04-17
350,1223,3,2005-04-17
1487,1320,1,2005-04-17
1484,1658,2,2005-04-17
1509,1566,1,2005-04-18
1238,587,2,2005-04-18
1495,685,3,2005-04-18
1503,288,3,2005-04-18
1286,1151,3,2005-04-18
1499,208,2,2005-04-18
203,114,2,2005-04-19
1985,68,1,2005-04-19
1519,898,2,2005-04-19
1521,902,3,2005-04-19
1985,486,3,2005-04-19
1523,1762,3,2005-04-19
1985,136,0,2005-04-19
1512,359,2,2005-04-19
1985,557,3,2005-04-19
1513,6692,2,2005-04-19
1985,396,2,2005-04-19
1516,217,2,2005-04-19
1985,3147,3,2005-04-19
65,1598,3,2005-04-20
419,495,2,2005-04-20
1525,104,3,2005-04-20
1985,971,2,2005-04-20
1985,370,2,2005-04-20
1985,760,1,2005-04-20
1985,531,2,2005-04-20
1985,216,2,2005-04-20
1985,316,2,2005-04-20
1094,377,1,2005-04-21
1538,1320,1,2005-04-21
1540,405,3,2005-04-21
1542,863,3,2005-04-21
1553,1735,3,2005-04-22
1547,241,3,2005-04-22
1545,504,3,2005-04-22
1446,979,2,2005-04-23
1567,447,3,2005-04-23
1573,270,3,2005-04-23
1565,1735,2,2005-04-23
1568,326,2,2005-04-23
1569,382,2,2005-04-23
1572,841,2,2005-04-23
1582,1735,3,2005-04-24
1581,377,2,2005-04-24
1575,468,2,2005-04-24
1577,330,3,2005-04-24
1578,1589,2,2005-04-24
1579,978,1,2005-04-24
1162,94,3,2005-04-25
1595,939,2,2005-04-25
2126,698,2,2005-04-25
1595,48,2,2005-04-25
1588,1558,3,2005-04-25
1587,130,2,2005-04-25
1589,476,3,2005-04-25
1593,863,3,2005-04-25
1595,1135,3,2005-04-25
1595,1315,3,2005-04-25
1595,159,3,2005-04-25
1595,1647,1,2005-04-25
1595,198,2,2005-04-25
1595,396,2,2005-04-25
1595,492,2,2005-04-25
1595,493,1,2005-04-25
1595,648,3,2005-04-25
1595,651,3,2005-04-25
1599,1607,3,2005-04-25
1602,151,3,2005-04-25
1603,35,3,2005-04-25
1608,1674,2,2005-04-26
1610,412,3,2005-04-26
1612,1223,3,2005-04-26
1069,747,3,2005-04-27
1614,886,2,2005-04-27
1618,1415,2,2005-04-27
1523,405,3,2005-04-28
1625,407,2,2005-04-28
1629,261,2,2005-04-28
1631,1453,3,2005-04-28
1632,124,2,2005-04-28
1214,1,2,2005-04-29
151,515,2,2005-04-29
1628,246,1,2005-04-29
1633,3824,3,2005-04-29
1634,217,2,2005-04-29
1636,1510,2,2005-04-29
1637,1453,2,2005-04-29
1641,1163,2,2005-04-29
1642,13416,2,2005-04-29
1643,1386,2,2005-04-29
596,1598,3,2005-04-30
1069,261,2,2005-04-30
1644,1658,3,2005-04-30
1647,674,0,2005-04-30
1648,1200,2,2005-04-30
1648,293,3,2005-04-30
1651,320,2,2005-04-30
1663,978,2,2005-05-01
1655,182,3,2005-05-01
1662,1405,2,2005-05-01
1662,425,1,2005-05-01
1682,770,2,2005-05-02
1594,208,3,2005-05-02
1674,1760,3,2005-05-02
1675,739,2,2005-05-02
1679,104,3,2005-05-02
1523,1762,3,2005-05-02
1683,261,3,2005-05-02
1691,1722,2,2005-05-03
1693,515,2,2005-05-03
1133,533,2,2005-05-04
473,340,1,2005-05-04
203,1558,3,2005-05-04
1704,1722,3,2005-05-04
1706,10518,2,2005-05-04
1707,493,2,2005-05-04
1708,412,1,2005-05-04
1709,198,1,2005-05-04
705,981,2,2005-05-05
1714,161,3,2005-05-05
1716,1598,3,2005-05-05
1731,305,2,2005-05-06
1559,196,1,2005-05-06
1723,497,3,2005-05-06
1727,430,2,2005-05-06
1728,1307,2,2005-05-06
1730,81,2,2005-05-06
1735,757,3,2005-05-07
1736,1220,3,2005-05-07
1738,208,3,2005-05-07
1627,1376,3,2005-05-07
1254,468,1,2005-05-08
1697,159,3,2005-05-08
1749,1424,3,2005-05-08
1745,10798,2,2005-05-08
345,1103,1,2005-05-09
825,251,3,2005-05-09
1702,320,1,2005-05-09
1753,104,3,2005-05-09
1754,1625,3,2005-05-09
1755,407,2,2005-05-09
1756,979,3,2005-05-09
1760,1617,2,2005-05-10
1764,468,1,2005-05-10
1761,1617,3,2005-05-10
1762,499,3,2005-05-10
1764,982,3,2005-05-10
1765,130,3,2005-05-10
1766,407,2,2005-05-10
25122,93,1,2005-05-11
1772,163,2,2005-05-11
1773,551,1,2005-05-11
12,261,2,2005-05-12
1788,982,3,2005-05-12
1786,1315,2,2005-05-12
1647,322,2,2005-05-12
1787,3824,3,2005-05-12
1792,3147,3,2005-05-12
1793,1479,3,2005-05-12
1804,770,2,2005-05-13
1593,94,3,2005-05-13
1801,982,2,2005-05-13
1797,982,2,2005-05-13
1799,1627,3,2005-05-13
430,417,3,2005-05-14
1814,181,3,2005-05-14
1807,669,1,2005-05-14
1809,3854,3,2005-05-14
1807,758,2,2005-05-14
1807,1320,1,2005-05-14
1807,131,2,2005-05-14
1814,246,3,2005-05-14
1810,2102,2,2005-05-14
1813,1518,2,2005-05-14
1807,650,2,2005-05-14
1807,145,1,2005-05-14
1815,1518,1,2005-05-15
1313,1091,3,2005-05-16
2126,185,2,2005-05-16
1825,1709,1,2005-05-16
1823,301,3,2005-05-16
1829,1401,3,2005-05-17
1836,10064,3,2005-05-17
1329,379,2,2005-05-18
1840,1178,3,2005-05-18
1846,685,2,2005-05-18
1843,712,2,2005-05-18
1844,1723,3,2005-05-18
1650,192,1,2005-05-19
1852,1429,2,2005-05-19
632,261,3,2005-05-20
1857,447,2,2005-05-20
1853,1262,3,2005-05-20
1864,1059,3,2005-05-20
1855,1429,2,2005-05-20
210,1883,2,2005-05-20
1856,567,2,2005-05-20
1862,1658,3,2005-05-20
1858,460,2,2005-05-20
1807,557,2,2005-05-21
1880,259,2,2005-05-22
1885,360,0,2005-05-22
1880,455,3,2005-05-22
1884,293,3,2005-05-22
1880,1223,3,2005-05-22
1324,125,2,2005-05-23
1892,14976,0,2005-05-23
1896,1,1,2005-05-23
632,1253,3,2005-05-23
1896,519,2,2005-05-23
1890,413,2,2005-05-23
632,1475,0,2005-05-23
1899,1764,2,2005-05-23
1893,85,3,2005-05-23
1889,1187,3,2005-05-23
1895,886,1,2005-05-23
1757,1510,1,2005-05-24
1911,3824,1,2005-05-24
1910,504,3,2005-05-24
1907,393,2,2005-05-24
1909,1650,3,2005-05-24
1914,738,3,2005-05-24
1927,80,3,2005-05-25
1922,674,2,2005-05-25
1912,130,2,2005-05-25
1923,916,2,2005-05-25
1912,14976,3,2005-05-25
1912,971,3,2005-05-25
1928,1021,3,2005-05-25
1926,651,3,2005-05-25
1923,674,1,2005-05-25
1923,80,3,2005-05-25
1920,1518,0,2005-05-25
1926,648,3,2005-05-25
1934,1735,3,2005-05-26
1936,261,2,2005-05-26
2126,131,2,2005-05-26
1071,7091,3,2005-05-27
1942,15242,3,2005-05-27
1943,522,2,2005-05-27
1944,1182,3,2005-05-27
1938,1617,2,2005-05-27
430,1901,3,2005-05-28
1071,1405,3,2005-05-28
1947,1510,1,2005-05-28
1947,376,2,2005-05-28
1954,1087,1,2005-05-29
1959,1031,1,2005-05-29
1956,739,3,2005-05-29
1956,94,3,2005-05-29
1967,217,2,2005-05-30
1970,1384,2,2005-05-30
1968,219,2,2005-05-30
1126,68,2,2005-05-30
1969,217,3,2005-05-30
1964,431,3,2005-05-30
1183,1099,3,2005-05-31
1981,997,2,2005-05-31
1982,1135,0,2005-05-31
1976,1674,3,2005-05-31
1985,59,1,2005-05-31
1996,581,3,2005-06-01
1993,1329,3,2005-06-01
2009,1510,2,2005-06-02
2015,1735,1,2005-06-02
2011,1510,1,2005-06-02
2019,1840,3,2005-06-02
2016,1220,3,2005-06-02
2025,2082,1,2005-06-03
2029,1709,2,2005-06-03
2033,208,1,2005-06-03
2046,1510,3,2005-06-04
2034,547,3,2005-06-04
2034,421,3,2005-06-04
2040,1355,2,2005-06-04
2047,376,2,2005-06-04
2049,412,0,2005-06-05
2048,231,3,2005-06-05
1162,1402,2,2005-06-06
2072,1685,3,2005-06-06
2054,4072,3,2005-06-06
2066,10064,3,2005-06-06
2059,1613,3,2005-06-06
2062,7091,2,2005-06-06
2071,80,2,2005-06-06
2170,1338,1,2005-06-06
2062,739,3,2005-06-06
2078,192,3,2005-06-07
2075,301,2,2005-06-07
2074,567,2,2005-06-07
2080,182,2,2005-06-07
2077,221,2,2005-06-07
2075,1434,3,2005-06-07
2075,1232,2,2005-06-07
2082,146,1,2005-06-07
2084,1898,2,2005-06-07
2073,192,3,2005-06-07
2103,217,2,2005-06-08
2101,674,3,2005-06-08
2093,131,2,2005-06-08
1324,902,2,2005-06-09
2114,131,2,2005-06-09
1324,1355,2,2005-06-09
2110,1843,3,2005-06-09
1324,612,2,2005-06-09
2113,1905,2,2005-06-09
1912,486,2,2005-06-09
2114,493,3,2005-06-09
1912,1365,2,2005-06-09
2114,905,2,2005-06-09
2115,486,3,2005-06-09
2107,932,3,2005-06-09
2111,1650,3,2005-06-09
2108,978,3,2005-06-09
2110,1879,2,2005-06-09
2114,980,2,2005-06-09
3713,163,3,2005-06-10
2119,341,3,2005-06-10
2118,1573,2,2005-06-10
1839,1187,2,2005-06-10
2123,1887,3,2005-06-11
2118,1866,2,2005-06-11
2124,311,0,2005-06-11
2118,312,1,2005-06-11
2123,217,3,2005-06-11
2127,813,1,2005-06-11
1214,1840,2,2005-06-12
2131,485,3,2005-06-12
65,85,2,2005-06-13
2139,1623,2,2005-06-13
2141,246,2,2005-06-13
2139,418,3,2005-06-13
2138,94,1,2005-06-13
2140,674,1,2005-06-13
2137,387,3,2005-06-13
2139,35,3,2005-06-13
2139,412,1,2005-06-13
2149,749,2,2005-06-14
2154,1179,3,2005-06-14
2163,377,3,2005-06-15
2164,124,2,2005-06-15
2158,1559,2,2005-06-15
2159,1195,2,2005-06-15
2217,485,3,2005-06-15
2156,1898,1,2005-06-15
2177,831,3,2005-06-16
2170,998,1,2005-06-16
2176,1898,2,2005-06-16
2170,1338,1,2005-06-16
2173,416,2,2005-06-16
2174,507,1,2005-06-16
